Cancer_Cells,Regulatory_T_Cells,Effector_T_Cells,Macrophages,Endothelial_Cells,Fibroblast
73.5,2.78,6.31,6.99,5.49,10.94
72.42808688,2.360282324,3.987734901,4.552486013,4.138786815,3.294067135
65.88226495,2.036956973,2.642487614,2.977156918,3.261100985,1.077563108
58.92569761,1.774223635,1.862048677,1.99942693,2.648739889,1.013901082
52.70560233,1.553582256,1.386874752,1.381237106,2.200499367,1.018269538
47.13945774,1.364704434,1.084218127,0.979000779,1.864365108,1.033120659
42.15820056,1.200673391,1.012478607,0.710236637,1.606866753,1.04209786
37.65902769,1.056131571,1.0157001,0.526340581,1.406275778,1.056940267
33.62835153,0.928652373,1.003535259,0.50409484,1.247328331,1.013985086
30.02310159,0.81635148,1.013497853,0.519566955,1.119603579,1.060646266
26.80566262,0.717463295,1.017080122,0.533196541,1.015614671,1.092270615
23.93465125,0.63043364,1.019637554,0.559741438,0.929981726,1.145758102
21.37280943,0.553873427,1.001857768,0.509241222,0.858723962,1.020387544
19.09672687,0.510846051,1.000503304,0.517039399,0.798718298,1.03208466
17.05637516,0.500874104,1.00369949,0.50132097,0.747907581,1.002155411
15.23311036,0.509603886,1.02143717,0.513847971,0.704429553,1.018373903
13.60336189,0.507598248,1.053057372,0.51049975,0.666941163,1.011086301
12.14533576,0.510017958,1.098245434,0.513269,0.634389935,1.010403618
10.84003272,0.521788305,1.157166815,0.527629624,0.605940959,1.013956074
9.670781362,0.533729624,1.230393341,0.541016269,0.580926813,1.009811474
8.622871517,0.506494899,1.318849516,0.507666234,0.558806965,1.000406076
7.683457819,0.518522498,1.423784879,0.521008552,0.539135744,1.004153636
6.842276163,0.530812867,1.546756138,0.533592101,0.521519112,1.024566989
6.090542207,0.502869829,1.689608949,0.503039643,0.505609186,1.060800195
5.419814478,0.515270615,1.854473355,0.515553941,0.503077775,1.112776024
4.82246288,0.501163529,2.043580352,0.501147449,0.500220744,1.181053052
4.29049721,0.502522396,2.259984984,0.50239525,0.500455861,1.266676784
3.817536556,0.501381236,2.506498462,0.501262524,0.500235786,1.371146203
3.397373473,0.508540814,2.786370939,0.507488211,0.501399941,1.496458935
3.024463349,0.538197765,3.10309072,0.531864378,0.506029051,1.645119434
2.693826064,0.504514389,3.460345569,0.503641248,0.500700025,1.82016771
2.400990677,0.513617432,3.861960341,0.51045547,0.502080025,2.025208636
2.141989788,0.523277751,4.311829071,0.516967387,0.503539816,2.264507244
1.913288392,0.53359746,4.813798476,0.523164633,0.505138768,2.543030041
1.711748505,0.520745638,5.371532757,0.513582781,0.503214341,2.866525693
1.534599436,0.507084682,5.988355574,0.504390076,0.501119396,3.241612819
1.379407354,0.572172532,6.667066743,0.541010172,0.51189621,3.675866287
1.244046687,0.559209638,7.409719255,0.531553869,0.510114411,4.177913883
1.126679282,0.545251263,8.217383009,0.522522211,0.508054832,4.757530025
1.025846681,0.530165829,9.089917784,0.513959067,0.505622701,5.425711453
1.005619633,0.506397846,10.01972888,0.50427103,0.50228589,6.189287958
1.0034508,0.505322946,11.00710729,0.502107136,0.501112282,7.059079958
1.027377161,0.553777906,12.04312308,0.519052352,0.512135213,8.045075859
1.021729428,0.556583965,13.1208336,0.518126361,0.513641968,9.160713546
1.014865448,0.559495571,14.23230771,0.517086191,0.515354179,10.42063981
1.006600772,0.562493481,15.36844486,0.515924071,0.51729501,11.84048695
1.00009788,0.564661219,16.51892696,0.514585676,0.519406747,13.43681479
1.014157729,0.500692306,17.67150714,0.500138411,0.50021824,15.22570163
1.055940791,0.502592558,18.81531378,0.500441832,0.500883586,17.21611915
1.133310361,0.516170212,19.93364326,0.502262916,0.505946245,19.41102286
1.258866808,0.503267461,21.00969461,0.500372042,0.501294078,21.80271755
1.452787782,0.51985645,22.02466919,0.501736801,0.508526052,24.36643009
1.747628382,0.537372239,22.9565417,0.502380334,0.517374642,27.04982906
2.196084796,0.506365594,23.77754536,0.500294643,0.503163955,29.75698188
2.882721721,0.507510072,24.45013372,0.500244235,0.504001543,32.32411767
3.938977186,0.502112051,24.91826385,0.500059509,0.501195855,34.49007648
5.550464796,0.517440265,25.11220037,0.500668902,0.5104294,35.85302358
7.928438582,0.518485244,24.92971262,0.501290609,0.511469954,35.90029061
11.18417115,0.50705325,24.26595524,0.500896129,0.504449726,34.13577507
15.08785561,0.517433109,23.06732338,0.50382644,0.510913073,30.41427614
18.91505073,0.52786538,21.4060783,0.509353294,0.516839007,25.27708717
21.73367804,0.519198456,19.50115383,0.508609603,0.510970402,19.81231112
22.99663984,0.511392382,17.62546146,0.506211691,0.506051004,15.01093448
22.77954114,0.504448473,15.98365718,0.502736764,0.502169017,11.30924256
21.51981683,0.529930089,14.66766214,0.519748973,0.513119096,8.667923443
19.68619432,0.523085648,13.6851349,0.515567733,0.509141251,6.854626982
17.62709569,0.516852725,13.00351912,0.511308825,0.50600385,5.630102817
15.55805068,0.543762133,12.57952845,0.528553367,0.513793994,4.810652734
13.59666368,0.512247843,12.37269719,0.507728877,0.503509243,4.270465046
11.79899252,0.526132355,12.34966582,0.515714169,0.506716742,3.927512159
10.18530854,0.539136355,12.48430368,0.522343407,0.509168295,3.729457455
8.756115896,0.508645858,12.75652457,0.504726861,0.501913303,3.643467409
7.501480293,0.519148464,13.15080853,0.509925524,0.50410854,3.649493146
6.406299337,0.523469671,13.65489785,0.511429197,0.505281693,3.736075283
5.453214883,0.502496511,14.25875465,0.501105008,0.500690063,3.897773455
4.624187574,0.500001289,14.95378821,0.500011805,0.502742379,4.133642983
3.900860541,0.532103885,15.73125678,0.520263916,0.50011088,4.446322529
3.263395363,0.638933008,16.57826969,0.581639656,0.507468791,4.84158845
2.691565625,0.839593717,17.47892098,0.699397879,0.528871926,5.328893706
2.164999369,1.153859069,18.41449318,0.891946874,0.568702245,5.921742568
1.662979643,1.600610231,19.36333688,1.180684129,0.631694132,6.638655941
1.164009548,2.196189094,20.30130543,1.589692117,0.722498776,7.504775971
1.095255415,1.868735906,21.14377498,1.630519671,0.718751508,8.519438802
1.002644208,1.335095177,22.0158959,1.521258772,0.673876629,9.678660476
1.000785532,0.945418291,22.91824513,1.426345418,0.628364676,10.99074905
